name,l_m,before,sparsity,after,PSNR
chair,1E-10,15.800,0.9718,0.985,34.136
drums,1E-10,16.286,0.9706,0.988,25.530
ficus,1E-10,16.240,0.9701,1.011,32.865
hotdot,1E-10,18.088,0.9898,0.529,35.929
lego,1E-10,16.693,0.9782,0.787,34.927
materials,1E-10,19.106,0.9754,0.988,29.542
mic,1E-10,15.941,0.9834,0.555,33.476
ship,1E-10,15.629,0.9755,0.766,29.150
chair,5E-11,15.800,0.9512,1.384,34.524
drums,5E-11,16.208,0.9462,1.404,25.655
ficus,5E-11,16.710,0.9498,1.394,33.033
hotdot,5E-11,17.540,0.9796,0.750,36.197
lego,5E-11,16.036,0.9635,1.114,35.157
materials,5E-11,19.106,0.9579,1.401,29.584
mic,5E-11,15.957,0.9744,0.759,33.678
ship,5E-11,16.270,0.9602,1.09,29.193
chair,2.5E-11,15.800,0.9239,1.988,34.677
drums,2.5E-11,15.582,0.9215,1.858,25.555
ficus,2.5E-11,16.710,0.9249,1.968,33.170
hotdot,2.5E-11,18.088,0.9668,1.118,36.366
lego,2.5E-11,16.693,0.9419,1.647,35.497
materials,2.5E-11,19.106,0.9355,2.000,29.558
mic,2.5E-11,15.941,0.9540,1.208,33.743
ship,2.5E-11,15.629,0.9323,1.712,29.335
