name,l_m,before,sparsity,after,PSNR
Bike,1E-10,17.792,0.9820,0.752,37.062
Lifestyle,1E-10,16.380,0.9786,0.801,33.437
Palace,1E-10,15.894,0.9810,0.737,35.180
Robot,1E-10,16.882,0.9761,0.870,35.736
Spaceship,1E-10,16.835,0.9821,0.714,37.005
Steamtrain,1E-10,18.829,0.9790,0.863,36.647
Toad,1E-10,16.913,0.9617,1.378,32.233
Wineholder,1E-10,16.192,0.9745,0.889,30.084
Bike,5E-11,17.792,0.9695,1.093,37.330
Lifestyle,5E-11,16.380,0.9652,1.140,33.685
Palace,5E-11,15.894,0.9676,1.066,35.650
Robot,5E-11,16.882,0.9621,1.217,36.010
Spaceship,5E-11,16.146,0.9684,1.034,37.226
Steamtrain,5E-11,18.829,0.9655,1.245,36.951
Toad,5E-11,16.913,0.9392,1.961,32.576
Wineholder,5E-11,16.192,0.9593,1.260,30.142
Bike,2.5E-11,17.792,0.9490,1.633,37.485
Lifestyle,2.5E-11,16.380,0.9385,1.783,33.754
Palace,2.5E-11,15.894,0.9412,1.680,35.940
Robot,2.5E-11,16.882,0.9388,1.772,36.234
Spaceship,2.5E-11,16.835,0.9461,1.616,37.450
Steamtrain,2.5E-11,20.050,0.9484,1.824,36.921
Toad,2.5E-11,16.913,0.9020,2.861,32.872
Wineholder,2.5E-11,16.192,0.9323,1.883,30.234
